SiteCode,SampleCode,Location,HgAvgFish (ppm),Common_Name,Point_X_longitude,Point_Y_ latitude
01BAM-Q1,1-01BAM-Q1-15ABC,293,0.7349,Doncella,-70.089,-12.595
01BAM-Q1,1-01BAM-Q1-15DEF,293,0.3224,Denton,-70.089,-12.595
01BAM-Q2,1-01BAM-Q2-15ABC,294,0.0757,Boca Chico,-70.088,-12.597
01BAM-Q2,1-01BAM-Q2-15DEF,294,0.1788,Boca Chico,-70.088,-12.597
01BAM-Q2,1-01BAM-Q2-15GHI,294,0.1788,Boca Chico,-70.088,-12.597
01BAM-Q2,1-01BAM-Q2-15JKL,294,0.0918,Bagre,-70.088,-12.597
01BAM-Q2,1-01BAM-Q2-15MNO,294,0.1504,Bagre,-70.088,-12.597
01BAM-Q2,1-01BAM-Q2-15PQR,294,1.3313,Unknown,-70.088,-12.597
01BCO-Q1,1-01BCO-Q1-15ABC,222,0.0079,Piro,-70.394,-12.591
01BCO-Q2,1-01BCO-Q2-15ABC,223,1.453,Chambira,-70.413,-12.598
01BCO-Q2,1-01BCO-Q2-15DEF,223,1.014966667,Chambira,-70.413,-12.598
01BCO-Q2,1-01BCO-Q2-25JKL,223,0.12785,Corvina,-70.413,-12.598
07BIN-U1,1-07BIN-U1-15ABC,361,0.2618,Boca Chico,-69.748,-12.718
07BIN-U1,1-07BIN-U1-15DEF,361,0.2054,Boca Chico,-69.748,-12.718
07BIN-U1,1-07BIN-U1-15GHI,361,0.1572,Boca Chico,-69.748,-12.718
07BIN-U1,1-07BIN-U1-15JKL,361,0.064466667,Boca Chico,-69.748,-12.718
01BMA-D1,1-01BMA-D1-25ABC,110,0.077,Bagre,-70.874,-12.298
01BMA-D1,1-01BMA-D1-25DEF,110,0.0808,Boca Chico,-70.874,-12.298
01BMA-D1,1-01BMA-D1-25GHI,110,0.19375,Bagre,-70.874,-12.298
01BMA-Q1,1-01BMA-Q1-35ABC,110,0.3578,Denton,-70.89,-12.273
01BMA-Q2,1-01BMA-Q2-25ABC,106,0.07615,Boca Chico,-70.89,-12.273
01BMD-Q1,1-01BMD-Q1-25ABC,488,0.205,Anashua,-69.144,-12.604
01BMD-Q1,1-01BMD-Q1-25DEF,488,1.9017,Sabalo,-69.144,-12.604
01BMD-Q1,1-01BMD-Q1-25GHI,488,0.2005,Carachama,-69.144,-12.604
01BMD-Q1,1-01BMD-Q1-25JKL,488,0.3698,Denton,-69.144,-12.604
01BMD-Q1,1-01BMD-Q1-25MNO,488,0.8059,Sabalo,-69.144,-12.604
01BMD-Q1,1-01BMD-Q1-25PQR,488,0.1304,Anashua,-69.144,-12.604
01BMD-Q1,1-01BMD-Q1-25STU,488,0.1753,Bagre,-69.144,-12.604
01BPI-Q1,1-01BPI-Q1-35ABC,463,0.0488,Palometa,-69.22,-12.505
01BPI-Q1,1-01BPI-Q1-35DEF,463,0.1058,YAHUARACHI,-69.22,-12.505
01BPI-Q1,1-01BPI-Q1-35GHI,463,0.18,YAHUARACHI,-69.22,-12.505
01BPI-Q1,1-01BPI-Q1-35JKL,463,0.221,YAHUARACHI,-69.22,-12.505
01BPI-Q1,1-01BPI-Q1-35MNO,463,0.2702,YAHUARACHI,-69.22,-12.505
01FOR-Q1,1-01FOR-Q1-25ABC,374,0.2869,Boca Chico,-69.622,-12.705
01FOR-Q1,1-01FOR-Q1-25DEF,374,1.0252,SABALO,-69.622,-12.705
01FOR-Q1,1-01FOR-Q1-25GHI,374,0.1799,Boca Chico,-69.622,-12.705
01FOR-Q1,1-01FOR-Q1-25JKL,374,0.2085,Boca Chico,-69.622,-12.705
01FOR-Q1,1-01FOR-Q1-25MNO,374,0.2442,Boca Chico,-69.622,-12.705
01FOR-Q2,1-01FOR-Q2-25ABC,375,0.17795,Boca Chico,-69.607,-12.708
01FOR-Q2,1-01FOR-Q2-25DEF,375,0.683233333,Boca Chico,-69.607,-12.708
01FOR-Q2,1-01FOR-Q2-25GHI,375,0.44985,Boca Chico,-69.607,-12.708
01ITA-Q1,1-01ITA-Q1-25ABC,47,0.078266667,Bagre,-71.227,-12.622
01ITA-Q1,1-01ITA-Q1-25DEF,47,0.046166667,Pablucha,-71.227,-12.622
01ITA-Q1,1-01ITA-Q1-25GHI,47,0.0672,Pablucha,-71.227,-12.622
01ITA-Q1,1-01ITA-Q1-25JKL,47,0.06715,Bagre,-71.227,-12.622
01LAB-Q1,1-01LAB-Q1-25ABC,386,0.23735,Boca Chico,-69.557,-12.677
01LAB-Q1,1-01LAB-Q1-25DEF,386,0.3602,Boca Chico,-69.557,-12.677
01LAB-Q1,1-01LAB-Q1-25GHI,386,0.654633333,Boca Chico,-69.557,-12.677
01LAB-Q1,1-01LAB-Q1-25JKL,386,0.3488,Bagre,-69.557,-12.677
01LAB-Q1,1-01LAB-Q1-25MNO,386,1.0033,Dorado,-69.557,-12.677
10LVA-Q1,1-01LVA-Q1-25ABC,545,0.7269,Chambira,-68.812,-12.459
10LVA-Q1,1-01LVA-Q1-25DEF,545,0.3282,Doncella,-68.812,-12.459
10LVA-Q1,1-01LVA-Q1-25GHI,545,0.0289,Carachama,-68.812,-12.459
10LVA-Q1,1-01LVA-Q1-25JKL,545,0.3288,Maparate,-68.812,-12.459
10LVA-Q1,1-01LVA-Q1-25MNO,545,0.0927,YULILLA,-68.812,-12.459
10LVA-Q1,1-01LVA-Q1-25PQR,545,0.199,Pirana,-68.812,-12.459
10LVA-Q2,1-01LVA-Q2-25ABC,545,0.7332,Corvina,-68.812,-12.459
10LVA-Q2,1-01LVA-Q2-25GHI,545,0.4071,Pirana,-68.812,-12.459
10LVA-Q2,1-01LVA-Q2-25MNO,545,0.1837,LEGUIA (PLATANITO),-68.812,-12.459
10LVA-Q2,1-01LVA-Q2-25PQR,545,0.2029,Bacalao,-68.812,-12.459
10LVA-Q3,1-01LVA-Q3-25ABC,545,0.83115,Sapamama,-68.812,-12.459
10LVA-Q3,1-01LVA-Q3-25DEF,545,0.10925,YAHUARACHI,-68.812,-12.459
10LVA-Q3,1-01LVA-Q3-25GHI,545,0.556766667,Bacalao,-68.812,-12.459
10LVA-Q3,1-01LVA-Q3-25JKL,545,0.2993,YULILLA,-68.812,-12.459
10LVA-Q3,1-01LVA-Q3-25MNO,545,0.10985,YAHUARACHI,-68.812,-12.459
10LVA-Q3,1-01LVA-Q3-25PQR,545,0.0477,YAHUARACHI,-68.812,-12.459
01PPA-Q1,1-01PPA-Q1-25ABC,453,0.1691,Lisa,-69.205,-12.575
01PPA-Q1,1-01PPA-Q1-25JKL,453,0.8071,Boca Chico,-69.205,-12.575
01PPA-Q1,1-01PPA-Q1-35DEF,453,0.0801,Boca Chico,-69.205,-12.575
01PPA-Q1,1-01PPA-Q1-35GHI,453,0.1642,Sapamama,-69.205,-12.575
01PPA-Q1,1-01PPA-Q1-35MNO,453,0.1449,Bagre,-69.205,-12.575
01PPA-Q1,1-01PPA-Q1-35PQR,453,0.5511,PICO PATO,-69.205,-12.575
01PPA-Q1,1-01PPA-Q1-35STU,453,0.5188,Denton,-69.205,-12.575
01SAL-Q1,1-01SAL-Q1-25ABC,5,0.0441,Boca Chico,-71.382,-12.849
01SAL-Q1,1-01SAL-Q1-25DEF,5,0.0485,Boca Chico,-71.382,-12.849
01SAL-Q1,1-01SAL-Q1-25GHI,5,0.1685,Bagre,-71.382,-12.849
01SAL-Q1,1-01SAL-Q1-25JKL,5,0.0156,Carachama,-71.382,-12.849
01SJG-Q1,1-01SJG-Q1-15ABC,265,0.24615,Boca Chico,-70.201,-12.583
01SJG-Q1,1-01SJG-Q1-15DEF,265,0.45085,PICO PATO,-70.201,-12.583
01SJG-Q1,1-01SJG-Q1-15GHI,265,0.385,PICO PATO,-70.201,-12.583
01SJG-Q1,1-01SJG-Q1-15JKL,265,0.1674,Bagre,-70.201,-12.583
01SJG-Q1,1-01SJG-Q1-15MNO,265,0.38585,Achacubo,-70.201,-12.583
01SJG-Q1,1-01SJG-Q1-15PQR,265,0.0824,Bagre,-70.201,-12.583
01TBL-D1,1-01TBL-D1-15ABC,160,0.4089,Ashara,-70.693,-12.44
01TBL-D1,1-01TBL-D1-15DEF,160,0.0937,Bagre,-70.693,-12.44
01TBL-Q1,1-01TBL-Q1-25ABC,161,0.7547,PICO PATO,-70.691,-12.449
01TBL-Q1,1-01TBL-Q1-25DEF,161,0.085,Boca Chico,-70.691,-12.449
01TRE-Q1,1-01TRE-Q1-35ABC,416,1.0064,Chambira,-69.375,-12.562
01TRE-Q1,1-01TRE-Q1-35DEF,416,0.2546,PICO PATO,-69.375,-12.562
01TRE-Q1,1-01TRE-Q1-35GHI,416,1.4322,Canero,-69.375,-12.562
01ATA-U1,2-01ATA-U1-35ABC,1,0.0787,HUASACO,-71.362,-12.893
01ATA-U1,2-01ATA-U1-35DEF,1,0.155566667,HUASACO,-71.362,-12.893
01BCO-Q3(1),2-01BCO-Q1-35ABC,223,0.792833333,ASHARA (BAGRE),-70.393,-12.597
01BCO-Q3(1),2-01BCO-Q1-35DEF,223,0.1934,BOCA CHICO,-70.393,-12.597
01BIN-Q2,2-01BIN-Q1-15ABC,355,1.622133333,CHAMBIRA,-69.675,-12.72
01BIN-Q2,2-01BIN-Q1-15DEF,355,0.0654,BOCA CHICO,-69.676,-12.717
01BIN-Q2,2-01BIN-Q1-15GHI,355,0.979,Corvina,-69.676,-12.717
01BIN-Q2,2-01BIN-Q1-15JKL,355,0.2985,BOCA CHICO,-69.676,-12.717
01BIN-Q2,2-01BIN-Q1-15MNO,355,0.348,YAHUARACHI,-69.676,-12.717
01BIN-Q2,2-01BIN-Q1-15PQR,355,0.2138,BOCA CHICO,-69.676,-12.717
01BIN-Q2,2-01BIN-Q1-15STU,355,0.5735,YAHUARACHI,-69.676,-12.717
01BIN-U1,2-01BIN-U1-15ABC,354,1.1512,CHAMBIRA,-69.676,-12.717
01BIN-U1,2-01BIN-U1-15DEF,354,0.4996,Corvina,-69.676,-12.717
01BIN-U1,2-01BIN-U1-15GHI,354,1.3013,UNKNOWN,-69.676,-12.717
07BIN-U1,2-07BIN-U1-15ABC,354,0.1618,YAHUARACHI,-69.676,-12.717
07BIN-U1,2-07BIN-U1-15DEF,354,0.189166667,YAHUARACHI,-69.676,-12.717
07BIN-U1,2-07BIN-U1-15GHI,354,0.2229,YAHUARACHI,-69.676,-12.717
01BMA-Q3,2-01BMA-Q1-35ABC,101,0.0956,ASHARA (BAGRE),-70.934,-12.286
01BMA-Q3,2-01BMA-Q1-35DEF,101,0.6035,TOA,-70.934,-12.286
01BMA-Q3,2-01BMA-Q1-35GHI,101,0.1748,Toa,-70.934,-12.286
01BMA-Q4,2-01BMA-Q2-35ABC,102,0.2308,TOA,-70.934,-12.286
01BMA-Q5,2-01BMA-Q3-35ABC,103,0.0606,LISA,-70.934,-12.286
01BMA-Q5,2-01BMA-Q3-35DEF,103,0.0388,YULILLA,-70.934,-12.286
01BMA-Q5,2-01BMA-Q3-35GHI,103,0.2408,BOCA CHICO,-70.934,-12.286
01BMA-Q5,2-01BMA-Q3-35JKL,103,0.249066667,Zungaro,-70.934,-12.286
01BMA-Q5,2-01BMA-Q3-35MNO,103,0.015,Carachama,-70.934,-12.286
01ITA-Q2,2-01ITA-Q1-15ABC,47,0.0203,BOCA CHICO,-71.224,-12.661
01ITA-Q3,2-01ITA-Q2-35ABC,42,0.1717,HUASACO,-71.225,-12.658
01ITA-Q3,2-01ITA-Q2-35DEF,42,0.163866667,HUASACO,-71.225,-12.658
01SAL-D1,2-01SAL-D1-15ABC,8,0.2031,YAHUARACHI,-71.387,-12.842
01SAL-D1,2-01SAL-D1-15DEF,8,0.0201,BOCA CHICO,-71.387,-12.842
01SAL-D1,2-01SAL-D1-15GHI,8,0.051433333,BOCA CHICO,-71.387,-12.842
01SAL-D1,2-01SAL-D1-15JKL,8,0.2421,YAHUARACHI,-71.387,-12.842
01TRE-Q2,2-01TRE-Q1-35ABC,421,0.0779,Mota punteada,-69.393,-12.537
01TRE-Q2,2-01TRE-Q1-35BBCCDD,421,0.1347,Bagre,-69.393,-12.537
01TRE-Q2,2-01TRE-Q1-35DEF,421,0.247,Bagre,-69.393,-12.537
01TRE-Q2,2-01TRE-Q1-35EE,421,0.1457,Bagre,-69.393,-12.537
01TRE-Q2,2-01TRE-Q1-35KK,421,0.1089,Bagre,-69.393,-12.537
01TRE-Q2,2-01TRE-Q1-35MNO,421,0.3401,Corvina,-69.393,-12.537
01TRE-Q2,2-01TRE-Q1-35STU,421,1.3698,Chambira,-69.393,-12.537
01TRE-Q2,2-01TRE-Q1-35VWX,421,0.2151,YAHUARACHI,-69.393,-12.537
,,,,,-69.719,-12.717
,,,,,-69.719,-12.717
,,,,,-69.719,-12.717
,,,,,-69.719,-12.717
,,,,,-71.036,-12.367
,,,,,-70.704,-12.43
,,,,,-70.704,-12.43
,,,,,-70.704,-12.43
,,,,,-70.699,-12.395
,,,,,-70.704,-12.427
,,,,,-70.704,-12.427
,,,,,-70.704,-12.427
,,,,,-70.704,-12.427
,,,,,-70.704,-12.427
,,,,,-70.704,-12.427
,,,,,-70.91,-12.265
,,,,,-70.704,-12.427
,,,,,-70.704,-12.427
,,,,,-70.704,-12.427
,,,,,-70.704,-12.427
,,,,,-70.704,-12.427
,,,,,-70.935,-12.284
,,,,,-71.036,-12.367
,,,,,-70.945,-12.294
,,,,,-70.704,-12.383
,,,,,-70.704,-12.383
,,,,,-70.704,-12.383
,,,,,-70.704,-12.43
,,,,,-70.087,-12.603
,,,,,-70.09,-12.605
,,,,,-70.09,-12.605
,,,,,-70.088,-12.603
,,,,,-70.088,-12.603
,LAG-F1,,0.130926259,Yuarachi,-68.815,-12.462
,LAG-F2,,0.267758233,RataCara,-68.815,-12.462
,LAG-F3,,0.234587725,Legia,-68.815,-12.462
,LAG-F4,,0.888153087,Legia,-68.815,-12.462
,LAG-F5,,0.61498141,Yullia,-68.815,-12.462
,LAG-F6,,0.292901264,Yullia,-68.815,-12.462
,LAG-F7,,0.221932857,Sapamama,-68.815,-12.462
,LAG-F8,,0.144892825,Yuarachi,-68.815,-12.462
,LAG-F9,,0.274640863,Yuarachi,-68.815,-12.462
,LAG-F10,,0.302308305,Yuarachi,-68.815,-12.462
,LAG-F11,,0.66840935,Sapamama,-68.815,-12.462
,LAG-F12,,0.332314709,Sapamama,-68.815,-12.462
,LAG-F13,,0.569148535,Boca Chico,-68.815,-12.462
,LAG-F14,,0.435705329,Boca Chico,-68.815,-12.462
,LAG-F15,,0.295451943,Boca Chico,-68.815,-12.462
,LAG-F16,,0.339895593,Sapamama,-68.815,-12.462
,LAG-F17,,1.441324179,Chambira,-68.815,-12.462
,LAG-F18,,3.75229108,Chambira,-68.815,-12.462
,LAG-F19,,2.365822766,Mota Con Puntos(Mota punnteada?),-68.815,-12.462
,LAG-F20,,1.125877948,Mota Con Puntos(Mota punnteada?),-68.815,-12.462
,LAG-F21,,3.230645526,Pico de Pato,-68.815,-12.462
,,,,,-70.204,-12.587
,,,,,-70.204,-12.587
,TMD-F1,,1.820090935,Mota Con Puntos,-69.178,-12.585
,TMD-F2,,1.036302661,Yuarachi,-69.178,-12.585
,TMD-F3,,,Yuarachi,-69.178,-12.585
,TMD-F4,,1.98812309,Chambira,-69.178,-12.585
,TMD-F5,,0.045745697,Mota??,-69.178,-12.585
,TMD-F6,,1.391954984,Pico de Pato,-69.178,-12.585
,TMD-F7,,1.256065335,Pico de Pato,-69.178,-12.585
,2ATA-F1,,0.228474245,Carachama,-71.393,-12.802
,2ATA-F2,,0.163038122,Boca Chico,-71.391,-12.819
,2BLA-F1,,1.029746553,Pirana Amarilla,-69.176,-12.591
,2BLA-F2,,2.019284205,Pirana Pana,-69.176,-12.591
,2BLA-F3,,1.076456667,Pirana Pana,-69.176,-12.591
,2BLA-F4,,1.84870445,Pirana Pana,-69.176,-12.591
,2BLA-F5,,0.26350322,"Not sure, like a paiche",-69.176,-12.591
,2BLA-F6,,0.695804596,Corbina,-69.176,-12.591
,2BLA-F7,,0.190559364,Sabalo,-69.176,-12.591
,2BLA-F8,,0.126477016,Boca Chico,-69.176,-12.591
,2BLA-F9,,0.296405915,Boca Chico,-69.176,-12.591
,2BLA-F10,,1.169050613,Pirana,-69.176,-12.591
,2BLA-F11,,0.43095686,Boca Chico,-69.176,-12.591
,2BLA-F12,,1.092421027,Pirana,-69.176,-12.591
,2BLA-F13,,0.654076118,Pirana,-69.176,-12.591
,2BLA-F14,,0.180995846,Carachama,-69.176,-12.591
,2BLA-F15,,0.004425368,Pirana,-69.176,-12.591
,2BLA-F16,,0.014058163,Pirana Roja,-69.176,-12.591
,2BLA-F17,,0.48958374,Boca Chico,-69.176,-12.591
,2BLA-F18,,0.549131075,Boca Chico,-69.176,-12.591
,2BLA-F19,,1.628311307,Corbina,-69.176,-12.591
,2BMA-F1,,0.048986608,Palometa,-70.911,-12.266
,2BMA-F2,,0.797597325,Pico de Pato/Shiripiro,-70.891,-12.273
,2BMA-F3,,2.882460564,Mota con Puntos,-70.911,-12.266
,2BMA-F4,,6.322615615,Zungaro,-70.911,-12.266
,2BMA-F5,,6.092911792,Zungaro,-70.911,-12.266
,2BMA-F6,,2.444437546,Zungaro,-70.911,-12.266
,2BMA-F7,,0.810101833,Bagre,-70.911,-12.266
,2BMA-F8,,0.210777727,Bagre (small),-70.911,-12.266
,2BMA-F9,,1.441177178,Yaurachi,-70.911,-12.266
,2BMA-F10,,0.501059335,Boca Chico,-70.911,-12.266
,2BMA-F11,,0.54165491,Yuarachi,-70.911,-12.266
,2BMA-F12,,1.254099336,Yuarachi,-70.911,-12.266
,2BMA-F13,,1.13637867,Yuahuarachi,-70.911,-12.266
,2BMA-F14,,2.077175041,Yuarachi,-70.911,-12.266
,2BMA-F15,,0.915717058,Yuarachi,-70.911,-12.266
,2BMA-F16,,1.350256822,Yuarachi,-70.911,-12.266
,,,,,-70.072,-12.577
,,,,,-70.072,-12.577
,,,,,-70.072,-12.577
,,,,,-70.072,-12.577
,,,,,-70.072,-12.577
,,,,,-70.07,-12.577
,,,,,-70.072,-12.577
,,,,,-69.787,-12.706
,,,,,-69.787,-12.706
,,,,,-69.787,-12.706
,,,,,-70.072,-12.577
,,,,,-69.787,-12.706
,,,,,-69.787,-12.706
,,,,,-69.787,-12.706
,,,,,-69.787,-12.706
,,,,,-69.787,-12.706
,,,,,-69.787,-12.706
,,,,,-69.761,-12.703
,,,,,-70.072,-12.577
,,,,,-69.761,-12.703
,,,,,-69.761,-12.703
,,,,,-70.072,-12.577
,,,,,-70.055,-12.578
,,,,,-70.055,-12.578
,,,,,-70.055,-12.578
,,,,,-70.055,-12.578
,,,,,-70.055,-12.578
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456